==38867== NVPROF is profiling process 38867, command: ./conv2
==38867== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==38867== Profiling application: ./conv2
==38867== Profiling result:
==38867== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","convolution(int)",1,"inst_per_warp","Instructions per warp",4578.222222,4578.222222,4578.222222
"TITAN V (0)","convolution(int)",1,"branch_efficiency","Branch Efficiency",53.550179%,53.550179%,53.550179%
"TITAN V (0)","convolution(int)",1,"warp_execution_efficiency","Warp Execution Efficiency",50.986833%,50.986833%,50.986833%
"TITAN V (0)","convolution(int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",49.188831%,49.188831%,49.188831%
"TITAN V (0)","convolution(int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000089,0.000089,0.000089
"TITAN V (0)","convolution(int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.060495,2.060495,2.060495
"TITAN V (0)","convolution(int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.984676,2.984676,2.984676
"TITAN V (0)","convolution(int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.213469,8.213469,8.213469
"TITAN V (0)","convolution(int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",1,"shared_store_transactions","Shared Store Transactions",426513861,426513861,426513861
"TITAN V (0)","convolution(int)",1,"shared_load_transactions","Shared Load Transactions",565735853,565735853,565735853
"TITAN V (0)","convolution(int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"gld_transactions","Global Load Transactions",237380556,237380556,237380556
"TITAN V (0)","convolution(int)",1,"gst_transactions","Global Store Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"TITAN V (0)","convolution(int)",1,"l2_read_transactions","L2 Read Transactions",248539071,248539071,248539071
"TITAN V (0)","convolution(int)",1,"l2_write_transactions","L2 Write Transactions",51380771,51380771,51380771
"TITAN V (0)","convolution(int)",1,"dram_read_transactions","Device Memory Read Transactions",303788,303788,303788
"TITAN V (0)","convolution(int)",1,"dram_write_transactions","Device Memory Write Transactions",60733,60733,60733
"TITAN V (0)","convolution(int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",19.185965%,19.185965%,19.185965%
"TITAN V (0)","convolution(int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"gld_requested_throughput","Requested Global Load Throughput",146.385024GB/s,146.385024GB/s,146.385024GB/s
"TITAN V (0)","convolution(int)",1,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"gld_throughput","Global Load Throughput",300.582214GB/s,300.582214GB/s,300.582214GB/s
"TITAN V (0)","convolution(int)",1,"gst_throughput","Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"local_memory_overhead","Local Memory Overhead",2.476660%,2.476660%,2.476660%
"TITAN V (0)","convolution(int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",15.456620%,15.456620%,15.456620%
"TITAN V (0)","convolution(int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",99.831008%,99.831008%,99.831008%
"TITAN V (0)","convolution(int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"dram_read_throughput","Device Memory Read Throughput",393.902472MB/s,393.902472MB/s,393.902472MB/s
"TITAN V (0)","convolution(int)",1,"dram_write_throughput","Device Memory Write Throughput",78.748597MB/s,78.748597MB/s,78.748596MB/s
"TITAN V (0)","convolution(int)",1,"tex_cache_throughput","Unified cache to Multiprocessor throughput",1747.023845GB/s,1747.023845GB/s,1747.023845GB/s
"TITAN V (0)","convolution(int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",249.984831GB/s,249.984831GB/s,249.984831GB/s
"TITAN V (0)","convolution(int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"l2_read_throughput","L2 Throughput (Reads)",314.711640GB/s,314.711640GB/s,314.711640GB/s
"TITAN V (0)","convolution(int)",1,"l2_write_throughput","L2 Throughput (Writes)",65.060703GB/s,65.060703GB/s,65.060703GB/s
"TITAN V (0)","convolution(int)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"sysmem_write_throughput","System Memory Write Throughput",6.638672KB/s,6.638672KB/s,6.637695KB/s
"TITAN V (0)","convolution(int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"shared_load_throughput","Shared Memory Load Throughput",2865.443369GB/s,2865.443369GB/s,2865.443369GB/s
"TITAN V (0)","convolution(int)",1,"shared_store_throughput","Shared Memory Store Throughput",2160.286127GB/s,2160.286127GB/s,2160.286127GB/s
"TITAN V (0)","convolution(int)",1,"gld_efficiency","Global Memory Load Efficiency",48.700494%,48.700494%,48.700494%
"TITAN V (0)","convolution(int)",1,"gst_efficiency","Global Memory Store Efficiency",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"tex_cache_transactions","Unified cache to Multiprocessor transactions",344921849,344921849,344921849
"TITAN V (0)","convolution(int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",2680328839,2680328839,2680328839
"TITAN V (0)","convolution(int)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",2217906823,2217906823,2217906823
"TITAN V (0)","convolution(int)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",462422016,462422016,462422016
"TITAN V (0)","convolution(int)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed","Instructions Executed",8269807616,8269807616,8269807616
"TITAN V (0)","convolution(int)",1,"inst_issued","Instructions Issued",957744149,957744149,957744149
"TITAN V (0)","convolution(int)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",1.666762%,1.666762%,1.666762%
"TITAN V (0)","convolution(int)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",16.844650%,16.844650%,16.844650%
