==35275== NVPROF is profiling process 35275, command: ./conv1
==35275== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==35275== Profiling application: ./conv1
==35275== Profiling result:
==35275== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","convolution(int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",11032102861,11032102861,11032102861
"TITAN V (0)","convolution(int)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",9182414797,9182414797,9182414797
"TITAN V (0)","convolution(int)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",1849688064,1849688064,1849688064
"TITAN V (0)","convolution(int)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed","Instructions Executed",43352064000,43352064000,43352064000
"TITAN V (0)","convolution(int)",1,"inst_issued","Instructions Issued",6008620266,6008620266,6008620266
"TITAN V (0)","convolution(int)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.328224%,2.328224%,2.328224%
"TITAN V (0)","convolution(int)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",25.037892%,25.037892%,25.037892%
"TITAN V (0)","convolution(int)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",26.766626%,26.766626%,26.766626%
"TITAN V (0)","convolution(int)",1,"stall_texture","Issue Stall Reasons (Texture)",0.020614%,0.020614%,0.020614%
"TITAN V (0)","convolution(int)",1,"stall_sync","Issue Stall Reasons (Synchronization)",11.871992%,11.871992%,11.871992%
"TITAN V (0)","convolution(int)",1,"stall_other","Issue Stall Reasons (Other)",0.701035%,0.701035%,0.701035%
"TITAN V (0)","convolution(int)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.001973%,0.001973%,0.001973%
"TITAN V (0)","convolution(int)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",9.341906%,9.341906%,9.341906%
"TITAN V (0)","convolution(int)",1,"shared_efficiency","Shared Memory Efficiency",1.823966%,1.823966%,1.823966%
"TITAN V (0)","convolution(int)",1,"inst_fp_32","FP Instructions(Single)",10802951707,10802951707,10802951707
"TITAN V (0)","convolution(int)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_integer","Integer Instructions",35670980123,35670980123,35670980123
"TITAN V (0)","convolution(int)",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_control","Control-Flow Instructions",18198492699,18198492699,18198492699
"TITAN V (0)","convolution(int)",1,"inst_compute_ld_st","Load/Store Instructions",22068325430,22068325430,22068325430
"TITAN V (0)","convolution(int)",1,"inst_misc","Misc Instructions",30211571712,30211571712,30211571712
"TITAN V (0)","convolution(int)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"TITAN V (0)","convolution(int)",1,"issue_slots","Issue Slots",6008620266,6008620266,6008620266
"TITAN V (0)","convolution(int)",1,"cf_issued","Issued Control-Flow Instructions",1563885568,1563885568,1563885568
"TITAN V (0)","convolution(int)",1,"cf_executed","Executed Control-Flow Instructions",1563885568,1563885568,1563885568
"TITAN V (0)","convolution(int)",1,"ldst_issued","Issued Load/Store Instructions",1669857280,1669857280,1669857280
"TITAN V (0)","convolution(int)",1,"ldst_executed","Executed Load/Store Instructions",1669857280,1669857280,1669857280
"TITAN V (0)","convolution(int)",1,"atomic_transactions","Atomic Transactions",208881576,208881576,208881576
"TITAN V (0)","convolution(int)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",3.613696,3.613696,3.613696
"TITAN V (0)","convolution(int)",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",68.994657GB/s,68.994657GB/s,68.994657GB/s
"TITAN V (0)","convolution(int)",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",411041792,411041792,411041792
"TITAN V (0)","convolution(int)",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",719112765,719112765,719112765
"TITAN V (0)","convolution(int)",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",22.484384%,22.484384%,22.484384%
"TITAN V (0)","convolution(int)",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",1.445355%,1.445355%,1.445355%
"TITAN V (0)","convolution(int)",1,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"TITAN V (0)","convolution(int)",1,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_fp_16","HP Instructions(Half)",0,0,0
"TITAN V (0)","convolution(int)",1,"ipc","Executed IPC",0.701579,0.701579,0.701579
"TITAN V (0)","convolution(int)",1,"issued_ipc","Issued IPC",0.701320,0.701320,0.701320
"TITAN V (0)","convolution(int)",1,"issue_slot_utilization","Issue Slot Utilization",17.533005%,17.533005%,17.533005%
"TITAN V (0)","convolution(int)",1,"sm_efficiency","Multiprocessor Activity",99.989435%,99.989435%,99.989435%
"TITAN V (0)","convolution(int)",1,"achieved_occupancy","Achieved Occupancy",0.822518,0.822518,0.822518
"TITAN V (0)","convolution(int)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.423254,1.423254,1.423254
"TITAN V (0)","convolution(int)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"TITAN V (0)","convolution(int)",1,"tex_utilization","Unified Cache Utilization","Low (2)","Low (2)","Low (2)"
"TITAN V (0)","convolution(int)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"TITAN V (0)","convolution(int)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"tex_fu_utilization","Texture Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",1,"half_precision_fu_utilization","Half-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",1,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",1.005601%,1.005601%,1.005601%
"TITAN V (0)","convolution(int)",1,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",1,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",1,"stall_sleeping","Issue Stall Reasons (Sleeping)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"pcie_total_data_transmitted","PCIe Total Data Transmitted",166912,166912,166912
"TITAN V (0)","convolution(int)",1,"pcie_total_data_received","PCIe Total Data Received",164352,164352,164352
"TITAN V (0)","convolution(int)",1,"inst_executed_global_loads","Warp level instructions for global loads",115605504,115605504,115605504
"TITAN V (0)","convolution(int)",1,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_shared_loads","Warp level instructions for shared loads",1098252288,1098252288,1098252288
"TITAN V (0)","convolution(int)",1,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_global_stores","Warp level instructions for global stores",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_shared_stores","Warp level instructions for shared stores",571604992,571604992,571604992
"TITAN V (0)","convolution(int)",1,"inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_global_reductions","Warp level instructions for global reductions",57802752,57802752,57802752
"TITAN V (0)","convolution(int)",1,"inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"TITAN V (0)","convolution(int)",1,"inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",520224768,520224768,520224768
"TITAN V (0)","convolution(int)",1,"inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"TITAN V (0)","convolution(int)",1,"dram_read_bytes","Total bytes read from DRAM to L2 cache",849358880,849358880,849358880
"TITAN V (0)","convolution(int)",1,"dram_write_bytes","Total bytes written from L2 cache to DRAM",15155200,15155200,15155200
"TITAN V (0)","convolution(int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",115605504,115605504,115605504
"TITAN V (0)","convolution(int)",1,"local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"global_store_requests","Total number of global store requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"local_store_requests","Total number of local store requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"surface_store_requests","Total number of surface store requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"global_atomic_requests","Total number of global atomic requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"global_reduction_requests","Total number of global reduction requests from Multiprocessor",57802752,57802752,57802752
"TITAN V (0)","convolution(int)",1,"surface_atomic_requests","Total number of surface atomic requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"surface_reduction_requests","Total number of surface reduction requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",1,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",21751190880,21751190880,21751190880
