==39965== NVPROF is profiling process 39965, command: ./class2b
==39965== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39965== Profiling application: ./class2b
==39965== Profiling result:
==39965== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_per_warp","Instructions per warp",219.785156,219.785156,219.785156
"TITAN V (0)","classify(float*, float*, int2)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.423687%,97.423687%,97.423687%
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000582,0.000582,0.000582
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.000854,9.000854,9.000854
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_transactions_per_request","Global Store Transactions Per Request",16.000000,16.000000,16.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"local_load_transactions","Local Load Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"local_store_transactions","Local Store Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_transactions","Global Load Transactions",37756928,37756928,37756928
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_transactions","Global Store Transactions",33554432,33554432,33554432
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_read_transactions","L2 Read Transactions",1051776,1051776,1051776
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_write_transactions","L2 Write Transactions",33554448,33554448,33554448
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_read_transactions","Device Memory Read Transactions",523983,523983,523983
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_write_transactions","Device Memory Write Transactions",71361,71361,71361
"TITAN V (0)","classify(float*, float*, int2)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",98.526709%,98.526709%,98.526709%
"TITAN V (0)","classify(float*, float*, int2)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_requested_throughput","Requested Global Load Throughput",78.078054GB/s,78.078054GB/s,78.078054GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_requested_throughput","Requested Global Store Throughput",138.745211GB/s,138.745211GB/s,138.745211GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_throughput","Global Load Throughput",624.488941GB/s,624.488941GB/s,624.488941GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_throughput","Global Store Throughput",554.980842GB/s,554.980842GB/s,554.980842GB/s
