==35496== NVPROF is profiling process 35496, command: ./conv1b
==35496== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==35496== Profiling application: ./conv1b
==35496== Profiling result:
==35496== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","convolution(int)",16,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_sp","Floating Point Operations(Single Precision)",11031081244,11033945887,11032988226
"TITAN V (0)","convolution(int)",16,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",9181393180,9184257823,9183300162
"TITAN V (0)","convolution(int)",16,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",1849688064,1849688064,1849688064
"TITAN V (0)","convolution(int)",16,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed","Instructions Executed",6008274944,43352069983,22346183029
"TITAN V (0)","convolution(int)",16,"inst_issued","Instructions Issued",6008618232,6008622211,6008620093
"TITAN V (0)","convolution(int)",16,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",16,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",16,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.320067%,2.329531%,2.325319%
"TITAN V (0)","convolution(int)",16,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",24.976846%,25.038522%,25.009233%
"TITAN V (0)","convolution(int)",16,"stall_memory_dependency","Issue Stall Reasons (Data Request)",26.662825%,26.809485%,26.747791%
"TITAN V (0)","convolution(int)",16,"stall_texture","Issue Stall Reasons (Texture)",0.020542%,0.020709%,0.020648%
"TITAN V (0)","convolution(int)",16,"stall_sync","Issue Stall Reasons (Synchronization)",11.819106%,11.947614%,11.889187%
"TITAN V (0)","convolution(int)",16,"stall_other","Issue Stall Reasons (Other)",0.698034%,0.702079%,0.699992%
"TITAN V (0)","convolution(int)",16,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.001976%,0.002238%,0.002050%
"TITAN V (0)","convolution(int)",16,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",9.284276%,9.358279%,9.323256%
"TITAN V (0)","convolution(int)",16,"shared_efficiency","Shared Memory Efficiency",1.743540%,1.840140%,1.812143%
"TITAN V (0)","convolution(int)",16,"inst_fp_32","FP Instructions(Single)",10801754856,10807345049,10804697354
"TITAN V (0)","convolution(int)",16,"inst_fp_64","FP Instructions(Double)",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_integer","Integer Instructions",35669783272,35675373465,35672725770
"TITAN V (0)","convolution(int)",16,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_control","Control-Flow Instructions",18197295848,18202886041,18200238346
"TITAN V (0)","convolution(int)",16,"inst_compute_ld_st","Load/Store Instructions",22065931728,22077112114,22071816724
"TITAN V (0)","convolution(int)",16,"inst_misc","Misc Instructions",30211571712,30211571712,30211571712
"TITAN V (0)","convolution(int)",16,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"TITAN V (0)","convolution(int)",16,"issue_slots","Issue Slots",6008618232,6008622211,6008620093
"TITAN V (0)","convolution(int)",16,"cf_issued","Issued Control-Flow Instructions",1563885568,1563885568,1563885568
"TITAN V (0)","convolution(int)",16,"cf_executed","Executed Control-Flow Instructions",1563885568,1563885568,1563885568
"TITAN V (0)","convolution(int)",16,"ldst_issued","Issued Load/Store Instructions",1669857280,1669857280,1669857280
"TITAN V (0)","convolution(int)",16,"ldst_executed","Executed Load/Store Instructions",1669857280,1669857280,1669857280
"TITAN V (0)","convolution(int)",16,"atomic_transactions","Atomic Transactions",208863423,208892619,208882867
"TITAN V (0)","convolution(int)",16,"atomic_transactions_per_request","Atomic Transactions Per Request",3.613382,3.613887,3.613718
"TITAN V (0)","convolution(int)",16,"l2_atomic_throughput","L2 Throughput (Atomic requests)",68.664728GB/s,69.019640GB/s,68.884892GB/s
"TITAN V (0)","convolution(int)",16,"l2_atomic_transactions","L2 Transactions (Atomic requests)",411041792,411041792,411041792
"TITAN V (0)","convolution(int)",16,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",718499311,719300872,718979304
"TITAN V (0)","convolution(int)",16,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",22.490855%,22.612726%,22.538533%
"TITAN V (0)","convolution(int)",16,"stall_not_selected","Issue Stall Reasons (Not Selected)",1.439406%,1.448633%,1.443990%
"TITAN V (0)","convolution(int)",16,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"TITAN V (0)","convolution(int)",16,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_fp_16","HP Instructions(Half)",0,0,0
"TITAN V (0)","convolution(int)",16,"ipc","Executed IPC",0.411431,0.701955,0.556702
"TITAN V (0)","convolution(int)",16,"issued_ipc","Issued IPC",0.699557,0.702261,0.700974
"TITAN V (0)","convolution(int)",16,"issue_slot_utilization","Issue Slot Utilization",17.488915%,17.556534%,17.524348%
"TITAN V (0)","convolution(int)",16,"sm_efficiency","Multiprocessor Activity",99.989412%,99.998024%,99.991332%
"TITAN V (0)","convolution(int)",16,"achieved_occupancy","Achieved Occupancy",0.822227,0.824162,0.823130
"TITAN V (0)","convolution(int)",16,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.419091,1.426558,1.422716
"TITAN V (0)","convolution(int)",16,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",16,"l2_utilization","L2 Cache Utilization","Low (1)","Low (2)","Low (1)"
"TITAN V (0)","convolution(int)",16,"tex_utilization","Unified Cache Utilization","Low (2)","Low (2)","Low (2)"
"TITAN V (0)","convolution(int)",16,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"TITAN V (0)","convolution(int)",16,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",16,"tex_fu_utilization","Texture Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",16,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",16,"half_precision_fu_utilization","Half-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",16,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",16,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","convolution(int)",16,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",16,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.087172%,1.006697%,0.947912%
"TITAN V (0)","convolution(int)",16,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",16,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Low (1)","Idle (0)"
"TITAN V (0)","convolution(int)",16,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","convolution(int)",16,"stall_sleeping","Issue Stall Reasons (Sleeping)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",16,"pcie_total_data_transmitted","PCIe Total Data Transmitted",20992,201216,93952
"TITAN V (0)","convolution(int)",16,"pcie_total_data_received","PCIe Total Data Received",4608,236544,94912
"TITAN V (0)","convolution(int)",16,"inst_executed_global_loads","Warp level instructions for global loads",115605504,115605504,115605504
"TITAN V (0)","convolution(int)",16,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_shared_loads","Warp level instructions for shared loads",1098252288,1098261685,1098252875
"TITAN V (0)","convolution(int)",16,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_global_stores","Warp level instructions for global stores",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_shared_stores","Warp level instructions for shared stores",571604992,571606429,571605081
"TITAN V (0)","convolution(int)",16,"inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_global_reductions","Warp level instructions for global reductions",57802752,57802752,57802752
"TITAN V (0)","convolution(int)",16,"inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"TITAN V (0)","convolution(int)",16,"inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",520224768,520224768,520224768
"TITAN V (0)","convolution(int)",16,"inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"TITAN V (0)","convolution(int)",16,"dram_read_bytes","Total bytes read from DRAM to L2 cache",849381248,850125248,849917656
"TITAN V (0)","convolution(int)",16,"dram_write_bytes","Total bytes written from L2 cache to DRAM",14770144,15164288,15092128
"TITAN V (0)","convolution(int)",16,"global_load_requests","Total number of global load requests from Multiprocessor",115605504,115605504,115605504
"TITAN V (0)","convolution(int)",16,"local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"global_store_requests","Total number of global store requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"local_store_requests","Total number of local store requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"surface_store_requests","Total number of surface store requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"global_atomic_requests","Total number of global atomic requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"global_reduction_requests","Total number of global reduction requests from Multiprocessor",57802752,57802752,57802752
"TITAN V (0)","convolution(int)",16,"surface_atomic_requests","Total number of surface atomic requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"surface_reduction_requests","Total number of surface reduction requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",21726143008,21755299392,21745977850
"TITAN V (0)","convolution(int)",16,"l2_local_load_bytes","Bytes read from L2 for misses in L1 for local loads",0,0,0
"TITAN V (0)","convolution(int)",16,"l2_surface_load_bytes","Bytes read from L2 for misses in L1 for surface loads",0,0,0
"TITAN V (0)","convolution(int)",16,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"TITAN V (0)","convolution(int)",16,"l2_local_global_store_bytes","Bytes written to L2 from L1 for local and global stores.",0,0,0
"TITAN V (0)","convolution(int)",16,"l2_surface_store_bytes","Bytes read from L2 for misses in L1 for surface stores",0,0,0
"TITAN V (0)","convolution(int)",16,"sysmem_read_bytes","System Memory Read Bytes",0,550400,34400
"TITAN V (0)","convolution(int)",16,"sysmem_write_bytes","System Memory Write Bytes",160,160,160
"TITAN V (0)","convolution(int)",16,"l2_tex_hit_rate","L2 Cache Hit Rate",98.010682%,98.066163%,98.032024%
"TITAN V (0)","convolution(int)",16,"texture_load_requests","Total number of texture Load requests from Multiprocessor",0,0,0
"TITAN V (0)","convolution(int)",16,"tensor_precision_fu_utilization","Tensor-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
