==39839== NVPROF is profiling process 39839, command: ./class1b
==39839== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39839== Profiling application: ./class1b
==39839== Profiling result:
==39839== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_efficiency","Global Memory Load Efficiency",12.501747%,12.501747%,12.501747%
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_efficiency","Global Memory Store Efficiency",25.000000%,25.000000%,25.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"tex_cache_transactions","Unified cache to Multiprocessor transactions",355101106,355101106,355101106
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_sp","Floating Point Operations(Single Precision)",3288334336,3288334336,3288334336
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",1644167168,1644167168,1644167168
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_executed","Instructions Executed",248147968,248147968,248147968
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_issued","Instructions Issued",248154907,248154907,248154907
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.028034%,0.028034%,0.028034%
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",1.062250%,1.062250%,1.062250%
