==39920== NVPROF is profiling process 39920, command: ./class2
==39920== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39920== Profiling application: ./class2
==39920== Profiling result:
==39920== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_per_warp","Instructions per warp",313.570312,313.570312,313.570312
"TITAN V (0)","classify(float*, float*, int2)",1,"branch_efficiency","Branch Efficiency",99.722222%,99.722222%,99.722222%
"TITAN V (0)","classify(float*, float*, int2)",1,"warp_execution_efficiency","Warp Execution Efficiency",70.091188%,70.091188%,70.091188%
"TITAN V (0)","classify(float*, float*, int2)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",68.293439%,68.293439%,68.293439%
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_replay_overhead","Instruction Replay Overhead",0.002765,0.002765,0.002765
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.499207,8.499207,8.499207
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"local_load_transactions","Local Load Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"local_store_transactions","Local Store Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_transactions","Global Load Transactions",4456576,4456576,4456576
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_transactions","Global Store Transactions",524288,524288,524288
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_read_transactions","L2 Read Transactions",558336,558336,558336
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_write_transactions","L2 Write Transactions",524304,524304,524304
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_read_transactions","Device Memory Read Transactions",511415,511415,511415
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_write_transactions","Device Memory Write Transactions",71412,71412,71412
"TITAN V (0)","classify(float*, float*, int2)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",88.813507%,88.813507%,88.813507%
"TITAN V (0)","classify(float*, float*, int2)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_requested_throughput","Requested Global Load Throughput",46.631219GB/s,46.631219GB/s,46.631219GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_requested_throughput","Requested Global Store Throughput",43.878124GB/s,43.878124GB/s,43.878124GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"gld_throughput","Global Load Throughput",372.974767GB/s,372.974767GB/s,372.974767GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"gst_throughput","Global Store Throughput",43.878124GB/s,43.878124GB/s,43.878124GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"local_memory_overhead","Local Memory Overhead",48.479110%,48.479110%,48.479110%
"TITAN V (0)","classify(float*, float*, int2)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",78.287462%,78.287462%,78.287462%
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",53.175791%,53.175791%,53.175791%
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_read_throughput","Device Memory Read Throughput",42.800771GB/s,42.800771GB/s,42.800771GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"dram_write_throughput","Device Memory Write Throughput",5.976533GB/s,5.976533GB/s,5.976533GB/s
"TITAN V (0)","classify(float*, float*, int2)",1,"tex_cache_throughput","Unified cache to Multiprocessor throughput",444.287432GB/s,444.287432GB/s,444.287432GB/s
